"season","team","wins","losses","ties","playoffs","game_type","probability_to_make_playoffs","off_epa","def_epa","total_epa"
2011,"NE",13,3,0,1,"SB","99.93",0.19834,0.062712,0.135628
2011,"NO",13,3,0,1,"DIV","99.93",0.199486,0.009366,0.19012
2011,"NYG",9,7,0,1,"CHMP","43.96",0.053424,0.057337,-0.003913
2011,"NYJ",8,8,0,0,NA,"10.77",-0.072241,-0.086277,0.014036
2011,"OAK",8,8,0,0,NA,"10.77",NA,NA,NA
2011,"PHI",8,8,0,0,NA,"10.77",0.051904,-0.042046,0.09395
2011,"PIT",12,4,0,1,"WC","99.54",0.054594,-0.069116,0.12371
2011,"SD",8,8,0,0,NA,"10.77",NA,NA,NA
2011,"SEA",7,9,0,0,NA,"1.82",-0.072429,-0.060785,-0.011644
2011,"SF",13,3,0,1,"CON","99.93",-0.009549,-0.120307,0.110758
2011,"STL",2,14,0,0,NA,"0.00",NA,NA,NA
2011,"TB",4,12,0,0,NA,"0.01",-0.114682,0.127035,-0.241717
2011,"TEN",9,7,0,0,NA,"43.96",-0.039955,-0.012762,-0.027193
2011,"WAS",5,11,0,0,NA,"0.04",-0.05774,0.024342,-0.082082
2012,"ARI",5,11,0,0,NA,"0.04",-0.257686,-0.094547,-0.163139
2012,"ATL",13,3,0,1,"CON","99.93",0.088651,-0.039707,0.128358
2012,"BAL",10,6,0,1,"CHMP","83.60",0.026228,-0.007612,0.03384
2012,"BUF",6,10,0,0,NA,"0.29",-0.006939,0.075507,-0.082446
2012,"CAR",7,9,0,0,NA,"1.82",0.082244,0.014321,0.067923
2012,"CHI",10,6,0,0,NA,"83.60",-0.040668,-0.140328,0.09966
2012,"CIN",10,6,0,1,"WC","83.60",-0.001941,-0.056429,0.054488
2012,"CLE",5,11,0,0,NA,"0.04",-0.06868,0.022778,-0.091458
2012,"DAL",8,8,0,0,NA,"10.77",0.045344,0.075436,-0.030092
2012,"DEN",13,3,0,1,"DIV","99.93",0.112584,-0.092621,0.205205
2012,"DET",4,12,0,0,NA,"0.01",-0.003291,0.045838,-0.049129
2012,"GB",11,5,0,1,"DIV","97.07",0.100611,0.002614,0.097997
2012,"HOU",12,4,0,1,"DIV","99.54",0.068861,-0.079326,0.148187
2012,"IND",11,5,0,1,"WC","97.07",0.033437,0.076572,-0.043135
2012,"JAX",2,14,0,0,NA,"0.00",-0.117382,0.097945,-0.215327
2012,"KC",2,14,0,0,NA,"0.00",-0.13235,0.108229,-0.240579
2012,"MIA",7,9,0,0,NA,"1.82",-0.046803,0.020708,-0.067511
2012,"MIN",10,6,0,1,"WC","83.60",0.012637,0.017253,-0.004616
2012,"NE",12,4,0,1,"CON","99.54",0.174995,-0.012557,0.187552
2012,"NO",7,9,0,0,NA,"1.82",0.094343,0.094632,-0.000288999999999998
2012,"NYG",9,7,0,0,NA,"43.96",0.087347,0.026161,0.061186
